2022-04-22 14:15:16,920 INFO 4559 [egg-logview] mount log /Users/xiongcheng/azure/MyBizIntouch/Intouch-Coach-App/logs at http://127.0.0.1:7001/__logs
2022-04-22 14:16:33,987 INFO 4559 [-/192.168.0.104/-/204ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 203 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:40,507 INFO 4559 [-/192.168.0.104/-/8ms GET /diq?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=95&targetContactId=20003191085&isSelf=true&tabType=assess] [access] 192.168.0.104: - GET /diq?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=95&targetContactId=20003191085&isSelf=true&tabType=assess HTTP/200 1943 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 5 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:41,150 INFO 4559 [-/192.168.0.104/-/176ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=95&targetContactId=20003191085&isSelf=true&tabType=assess 173 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:41,305 INFO 4559 [-/192.168.0.104/-/153ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=95&targetContactId=20003191085&isSelf=true&tabType=assess 147 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:51,292 INFO 4559 [-/192.168.0.104/-/4ms GET /profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085] [access] 192.168.0.104: - GET /profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 HTTP/200 1943 http://192.168.0.104:7001/diq?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&levelCode=95&targetContactId=20003191085&isSelf=true&tabType=assess 3 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:51,942 INFO 4559 [-/192.168.0.104/-/204ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 202 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:52,145 INFO 4559 [-/192.168.0.104/-/200ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 192 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:52,310 INFO 4559 [-/192.168.0.104/-/153ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 152 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:52,456 INFO 4559 [-/192.168.0.104/-/145ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 145 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:52,607 INFO 4559 [-/192.168.0.104/-/150ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 148 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:52,751 INFO 4559 [-/192.168.0.104/-/142ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/profile?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 142 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
